Original X, Original Y
-10, 100, 
-9, 81, 
-8, 64, 
-7, 49, 
-6, 36, 
-5, 25, 
-4, 16, 
-3, 9, 
-2, 4, 
-1, 1, 
0, 0, 
1, 1, 
2, 4, 
3, 9, 
4, 16, 
5, 25, 
6, 36, 
7, 49, 
8, 64, 
9, 81, 
10, 100, 
Salted X, Salted Y
-7, 49, 
-9, 81, 
-8, 64, 
-6, 36, 
-4, 16, 
-5, 25, 
-4, 16, 
1, 1, 
-1, 1, 
2, 4, 
1, 1, 
3, 9, 
6, 36, 
5, 25, 
5, 25, 
8, 64, 
9, 81, 
8, 64, 
9, 81, 
12, 144, 
14, 196, 
Smoothed X, Smoothed Y
-9, 81, 
-7, 49, 
-7, 49, 
-6, 36, 
-4, 16, 
-4, 16, 
-3, 9, 
-2, 4, 
-1, 1, 
-1, 1, 
0, 0, 
1, 1, 
3, 9, 
4, 16, 
4, 16, 
5, 25, 
7, 49, 
7, 49, 
8, 64, 
10, 100, 
11, 121, 
